Tweet id,Tweet permalink,Tweet text,time (utc),date (cst),"score (10x user profile click, 5x retweet, 7x reply, 1x favorite, 1x url click, 1x detail expand)",Followers (est),impressions,engagements,engagement rate,retweets,replies,favorites,user profile clicks,url clicks,hashtag clicks,detail expands,time of day,day of week,char length (not including url),topic:technology?,topic:privacy?,topic:data?,topic:education?,content type: website?,content type: blog?,content type: article?,content type: video?,content source,number of hashtags,#edchat?,#edtech?,#dataforstudents?,#eddata or #educationdata?,conference related?,image?,11-noon Tuesday?,url?,quotation?,questionmark?,people count,people:news,people:author,people:other,hand scored?,normalization factor,normalized score,standard deviation,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted favorites,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted embedded media clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted video views
5.87E+17,https://twitter.com/Learnmetrics/status/586610951195070464,"Parents of children who attend preschool less often see ed as important but focus on future, not immediate benefits http://t.co/HSuFDDpmNm",2015-04-10 19:25 +0000,4/10/15,1,1021,229,1,0.004366812,0,0,0,0,1,0,0,14:25,Friday,115,,,,X,,,X,,Education Week,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,0,,,,X,0.52044569,1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.87E+17,https://twitter.com/Learnmetrics/status/586556919957082112,"After coaching, principals gave teachers better feedback, whose performance improved and student learning accelerated http://t.co/DVmuaWaUV6",2015-04-10 15:50 +0000,4/10/15,43,1021,287,9,0.031358885,2,0,0,3,3,0,0,10:50,Friday,117,,,,X,,,X,,US Department of Education,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,0,,,,X,0.52044569,22,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.87E+17,https://twitter.com/Learnmetrics/status/586504024838516736,_ÑÒSocial and emotional skills students develop promote academic learning and prepare students_Ñ for college and career http://t.co/cRgqk8Bz6K,2015-04-10 12:20 +0000,4/10/15,7,1021,194,9,0.046391753,0,0,0,0,2,0,5,7:20,Friday,120,,,,X,,,X,,American Institues for Research,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,0,,,,X,0.52044569,4,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.86E+17,https://twitter.com/Learnmetrics/status/586263667878002689,_ÑÒGood teachers are crucial to help students identify their learning strengths and weaknesses_Ñ @MindShiftKQED #edchat http://t.co/7cZ6MST1Wh,2015-04-09 20:25 +0000,4/9/15,20,1016,444,7,0.015765766,1,0,2,1,1,0,2,15:25,Thursday,120,,,,X,,,X,,KQED News,1,TRUE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,1,X,,,X,0.52336624,10,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.86E+17,https://twitter.com/Learnmetrics/status/586189705433260034,Studies show _ÑÒthat suspensions do nothing to improve the school climate_Ñ #dataforstudents #edchat @nytimes | http://t.co/GEPuhLetGj,2015-04-09 15:31 +0000,4/9/15,6,1016,200,6,0.03,0,0,2,0,2,0,2,10:31,Thursday,112,,,,X,,,X,,The New York Times,2,TRUE,FALSE,TRUE,FALSE,,,FALSE,TRUE,FALSE,FALSE,1,X,,,X,0.52336624,3,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.86E+17,https://twitter.com/Learnmetrics/status/586140457131974656,"It may be time to retire the view ""that teachers can't or don't improve much after their first few years on the job._Ñ http://t.co/YItGbJuZ9j",2015-04-09 12:15 +0000,4/9/15,3,1016,147,3,0.020408163,0,0,0,0,3,0,0,7:15,Thursday,119,,,,X,,,X,,Education Week,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,TRUE,FALSE,0,,,,X,0.52336624,2,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.86E+17,https://twitter.com/Learnmetrics/status/585908825980538882,"_ÑÒThe mission of schools is to equip students for success, emphasis should be placed on social and emotional skills_Ñ http://t.co/3LGA4RDgBf",2015-04-08 20:55 +0000,4/8/15,8,1011,167,4,0.023952096,1,0,2,0,1,0,0,15:55,Wednesday,119,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,0,,,,,0.52628679,4,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.86E+17,https://twitter.com/Learnmetrics/status/585833367746248705,"_ÑÒAll parents want their children to be inspired at school, and tech _ÑÐ properly deployed _ÑÐ is making that a reality_Ñ http://t.co/Obmxp5GXve",2015-04-08 15:55 +0000,4/8/15,1,1011,142,1,0.007042254,0,0,0,0,1,0,0,10:55,Wednesday,123,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,0,,,,,0.52628679,1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.86E+17,https://twitter.com/Learnmetrics/status/585780478130708481,"""You have to help people understand the consequences of absences adding up."" #edchat http://t.co/E9G3rNmB5V",2015-04-08 12:25 +0000,4/8/15,11,1011,161,2,0.01242236,0,0,0,1,0,0,1,7:25,Wednesday,84,,,,,,,,,,1,TRUE,FALSE,FALSE,FALSE,,,FALSE,TRUE,TRUE,FALSE,0,,,,,0.52628679,6,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.85E+17,https://twitter.com/Learnmetrics/status/585160147951079425,"Students and teachers _ÑÒhave reported in surveys that their schools felt much safer, less disruptive and more orderly_Ñ http://t.co/0dJcog3wdK",2015-04-06 19:20 +0000,4/6/15,1,1001,215,1,0.004651163,0,0,1,0,0,0,0,14:20,Monday,121,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,0,,,,,0.53212789,1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
